query_id,alignment_title,e_value,score,identities,alignment_length
Query_71485,"gi|2450763336|gb|OP762442.1| Duck hepatitis B virus strain Y180830HN, complete genome",0.0,4582.0,2716,2996
Query_71485,"gi|2482563971|gb|OQ183605.1| Duck hepatitis B virus strain Y200226, complete genome",0.0,4573.0,2712,2995
Query_71485,"gi|2169768407|gb|MZ048741.1| Duck hepatitis B virus isolate AAU-6, complete genome",0.0,4568.0,2711,2995
Query_71485,"gi|2482563963|gb|OQ183603.1| Duck hepatitis B virus strain Y220217, complete genome",0.0,4567.0,2713,2996
Query_71485,"gi|2482563951|gb|OQ183600.1| Duck hepatitis B virus strain Y210928, complete genome",0.0,4567.0,2713,2998
Query_71485,"gi|82592699|gb|DQ276978.1| Duck hepatitis B virus, complete genome",0.0,4563.0,2710,2995
Query_71485,"gi|44829147|gb|AY536371.1| Duck hepatitis B virus strain GD3, complete genome",0.0,4557.0,2711,2998
Query_71485,"gi|2450763296|gb|OP762432.1| Duck hepatitis B virus strain E180606HB, complete genome",0.0,4553.0,2714,3005
Query_71485,"gi|325435|gb|M21953.1|HPUGA Duck hepatitis B virus, complete genome",0.0,4553.0,2714,3005
Query_71485,"gi|2482563959|gb|OQ183602.1| Duck hepatitis B virus strain Y211013, complete genome",0.0,4548.0,2707,2995
Query_71485,"gi|2301572970|gb|MZ031969.1| Duck hepatitis B virus isolate AAU-1, complete genome",0.0,4543.0,2706,2995
Query_71485,"gi|2482563979|gb|OQ183607.1| Duck hepatitis B virus strain Y200722, complete genome",0.0,4538.0,2711,3005
Query_71485,"gi|325448|gb|M32990.1|HPUS5CG Duck hepatitis B virus complete genome, from brown Shanghai duck",0.0,4537.0,2707,2998
Query_71485,"gi|2450763320|gb|OP762438.1| Duck hepatitis B virus strain Y180613HN, complete genome",0.0,4532.0,2706,2998
Query_71485,"gi|2169768578|gb|MZ048742.1| Duck hepatitis B virus isolate AAU-16, complete genome",0.0,4532.0,2706,2998
Query_71485,"gi|2230207398|gb|MZ054255.1| Duck hepatitis B virus isolate AAU-19, complete genome",0.0,4528.0,2703,2995
Query_71485,"gi|9625568|ref|NC_001344.1| Duck hepatitis B virus, complete genome",0.0,4517.0,2703,2998
Query_71485,gi|59058|emb|X60213.1| Duck hepatitis B virus complete genome,0.0,4517.0,2703,2998
Query_71485,"gi|2482563967|gb|OQ183604.1| Duck hepatitis B virus strain Y200122, complete genome",0.0,4512.0,2708,3008
Query_71485,"gi|2482563939|gb|OQ183597.1| Duck hepatitis B virus strain Y200825, complete genome",0.0,4508.0,2699,2995
Query_71485,"gi|2502825492|gb|OP850044.1| Duck hepatitis B virus isolate SDTZ2193, complete genome",0.0,4505.0,2667,2942
Query_71485,"gi|2502825492|gb|OP850044.1| Duck hepatitis B virus isolate SDTZ2193, complete genome",8.38866e-09,87.0,51,56
Query_71485,"gi|15150396|gb|AF404406.1|AF404406 Duck hepatitis B virus, complete genome",0.0,4498.0,2697,2995
Query_71485,"gi|1442786803|gb|MF471768.1| Duck hepatitis B virus isolate SD-01, complete genome",0.0,4492.0,2698,2998
Query_71485,"gi|2450763352|gb|OP762446.1| Duck hepatitis B virus strain Y181114AH, complete genome",0.0,4492.0,2704,3008
Query_71485,"gi|410026809|gb|JX469897.1| Duck hepatitis B virus isolate DHBV2, complete genome",0.0,4492.0,2698,2998
Query_71485,"gi|2482563975|gb|OQ183606.1| Duck hepatitis B virus strain Y200619, complete genome",0.0,4487.0,2697,2998
Query_71485,"gi|2450763344|gb|OP762444.1| Duck hepatitis B virus strain Y181110HN, complete genome",0.0,4487.0,2703,3008
Query_71485,"gi|2450763340|gb|OP762443.1| Duck hepatitis B virus strain Y180926HB, complete genome",0.0,4487.0,2703,3008
Query_71485,"gi|2450763308|gb|OP762435.1| Duck hepatitis B virus strain Y180317HB, complete genome",0.0,4482.0,2696,2998
Query_71485,"gi|38017493|gb|AY433937.1| Duck hepatitis B virus strain GD2, complete genome",0.0,4481.0,2698,2999
Query_71485,"gi|2450763356|gb|OP762447.1| Duck hepatitis B virus strain Y181229HN, complete genome",0.0,4472.0,2694,2998
Query_71485,"gi|2450763332|gb|OP762441.1| Duck hepatitis B virus strain Y180813HB, complete genome",0.0,4467.0,2693,2998
Query_71485,"gi|410026813|gb|JX469898.1| Duck hepatitis B virus isolate DHBV3, complete genome",0.0,4467.0,2693,2998
Query_71485,"gi|296142305|gb|HM043822.1| Duck hepatitis B virus strain DHBV-xz-1, complete genome",0.0,4467.0,2693,2998
Query_71485,"gi|45775509|gb|AY521226.1| Duck hepatitis B virus strain A, complete genome",0.0,4467.0,2693,2998
Query_71485,"gi|2301572955|gb|MZ031968.1| Duck hepatitis B virus isolate AAU-14, complete genome",0.0,4459.0,2679,2978
Query_71485,"gi|45775513|gb|AY521227.1| Duck hepatitis B virus strain B, complete genome",0.0,4457.0,2691,2998
Query_71485,"gi|2450763348|gb|OP762445.1| Duck hepatitis B virus strain Y181111HB, complete genome",0.0,4437.0,2688,2998
Query_71485,"gi|2450763316|gb|OP762437.1| Duck hepatitis B virus strain Y180612AH, complete genome",0.0,4437.0,2687,2998
Query_71485,"gi|410026805|gb|JX469896.1| Duck hepatitis B virus isolate DHBV1, complete genome",0.0,4432.0,2687,2997
Query_71485,"gi|3218460|emb|AJ006350.1| Duck hepatitis B virus, complete genome",0.0,4427.0,2685,2998
Query_71485,"gi|325444|gb|M32991.1|HPUS31CG Duck hepatitis B virus complete genome, from white Shanghai duck",0.0,4423.0,2683,2996
Query_71485,"gi|2482564023|gb|OQ183618.1| Duck hepatitis B virus strain E200529, complete genome",0.0,4422.0,2684,2998
Query_71485,"gi|2482564015|gb|OQ183616.1| Duck hepatitis B virus strain E210814, complete genome",0.0,4417.0,2683,2998
Query_71485,"gi|2482563987|gb|OQ183609.1| Duck hepatitis B virus strain E200402, complete genome",0.0,4402.0,2680,2998
Query_71485,"gi|2482563991|gb|OQ183610.1| Duck hepatitis B virus strain E200422, complete genome",0.0,4392.0,2678,2998
Query_71485,"gi|2450763292|gb|OP762431.1| Duck hepatitis B virus strain E180402HN, complete genome",0.0,4382.0,2676,2998
Query_71485,"gi|2482564027|gb|OQ183619.1| Duck hepatitis B virus strain E200801, complete genome",0.0,4377.0,2675,2998
Query_71485,"gi|2482564019|gb|OQ183617.1| Duck hepatitis B virus strain E220324, complete genome",0.0,4377.0,2675,2998
Query_71485,"gi|2482564011|gb|OQ183615.1| Duck hepatitis B virus strain E210620, complete genome",0.0,4372.0,2674,2998
Query_71485,"gi|2482563999|gb|OQ183612.1| Duck hepatitis B virus strain E210501, complete genome",0.0,4372.0,2674,2998
Query_71485,"gi|2482563995|gb|OQ183611.1| Duck hepatitis B virus strain E200731, complete genome",0.0,4372.0,2674,2998
Query_71485,"gi|2482564007|gb|OQ183614.1| Duck hepatitis B virus strain E210526, complete genome",0.0,4367.0,2673,2998
Query_71485,"gi|169116551|gb|EU429324.1| Duck hepatitis B virus isolate CH4, complete genome",0.0,4360.0,2392,2535
Query_71485,"gi|169116551|gb|EU429324.1| Duck hepatitis B virus isolate CH4, complete genome",4.03766e-171,685.0,401,440
Query_71485,"gi|2482564003|gb|OQ183613.1| Duck hepatitis B virus strain E210321, complete genome",0.0,4357.0,2671,2998
Query_71485,"gi|2450763312|gb|OP762436.1| Duck hepatitis B virus strain Y180610AH, complete genome",0.0,4348.0,2673,3002
Query_71485,"gi|2450763288|gb|OP762430.1| Duck hepatitis B virus strain E180327HB, complete genome",0.0,4332.0,2666,2998
Query_71485,"gi|2450763324|gb|OP762439.1| Duck hepatitis B virus strain Y180702HN, complete genome",0.0,4302.0,2660,2998
Query_71485,"gi|4530332|gb|AF111000.1|AF111000 Snow goose hepatitis B virus isolate SGHBV1-9, complete genome",0.0,4300.0,2666,3008
Query_71485,"gi|4530331|gb|AF110999.1|AF110999 Snow goose hepatitis B virus isolate SGHBV1-7, complete genome",0.0,4294.0,2667,3009
